"Yazar", "Alıntı"
"Lloyd Jones", "Bir şeyler yapmaya çalışıp başarısız olanlar, hiçbir şey yapmayıp başarılı olanlardan sonsuz derecede daha iyidir."
"Vista Kelly", "Kar taneleri doğanın en kırılgan şeylerinden biridir, ama bir araya geldiklerinde neler yapabildiklerine bir bakın."
"Ben Stein", "Hayattan istediğiniz şeyleri elde etmenin ilk adımı şudur: Ne istediğinize karar verin."
"", "Neden kendinizi başkalarıyla kıyaslıyorsunuz? Tüm dünyada hiç kimse siz olma konusunda sizden daha iyi bir iş çıkaramaz."
"Aldous Huxley", "Deneyim insanın başına gelen şey değildir. İnsanın başına gelenlerle ne yaptığıdır."
"", "İyi bir öğretmen bir mum gibidir, başkalarının yolunu aydınlatmak için kendini tüketir."
"Oscar Wilde", "İyi bir öğütle yapılacak tek şey onu başkalarına aktarmaktır. Kişinin kendisine hiçbir faydası yoktur."
"", "Hayat aldığımız nefeslerle değil, nefesimizi kesen anlarla ölçülür."
"Honore de Balzac", "En küçük çiçek bir düşüncedir, Büyük Bütün'ün bir özelliğine cevap veren bir hayattır, onun hakkında ısrarlı bir sezgiye sahiptirler."
"Jacob Braude", "Kendinizi değiştirmenin ne kadar zor olduğunu düşünün ve başkalarını değiştirmeye çalışırken ne kadar az şansınız olduğunu anlayacaksınız."
"Vince Lombardi", "Elinizden gelenin en iyisinden daha azıyla yetinmezseniz, hayatınızda neleri başarabileceğinize şaşıracaksınız."
"Oliver Holmes", "Arkamızda ve önümüzde yatanlar, içimizde yatanlara kıyasla küçük meselelerdir."
"Dalai Lama", "Kişi kendi potansiyelinin farkına vararak ve yeteneklerine güvenerek daha iyi bir dünya inşa edebilir."
"Nelson Mandela", "Hiç değişmemiş bir yere döndüğünüzde kendinizin de değişmiş olduğunu görmek gibisi yoktur."
"Robert Anthony", "Bir şeyin neden işe yaramayacağına dair tüm nedenleri unutun. İşe yaraması için tek bir iyi neden bulmanız yeterlidir."
"Aristoteles", "Bir düşünceyi kabul etmeden onunla ilgilenebilmek eğitimli bir zihnin işaretidir."
"Washington Irving", "Sevgi asla kaybolmaz. Karşılık verilmezse, geri akacak ve kalbi yumuşatıp arındıracaktır."
"Anne Frank", "Hepimiz mutlu olma hedefiyle yaşıyoruz; hayatlarımız birbirinden farklı ama yine de aynı."
"Byron Pulsifer", "Pek çok insan refahın parayla ilgili olduğunu düşünür ancak gerçek refahın zihinle ilgili olduğunu unutur."
"Thich Nhat Hanh", "Güzel olmak, kendiniz olmak demektir. Başkaları tarafından kabul edilmeye ihtiyacınız yoktur. Kendinizi kabul etmeniz gerekir."
"Buddha", "Elde ettiklerinizi abartmayın ve başkalarını kıskanmayın. Başkalarını kıskanan kişi iç huzuruna kavuşamaz."
"Jessamyn West", "Başkalarının hatalarını affetmek çok kolaydır; kendi hatalarınıza tanık oldukları için onları affetmek daha fazla cesaret ister."
"Platon", "Bedensel egzersiz, zorunlu olduğunda, bedene zarar vermez; ancak zorlama altında edinilen bilgi, zihin üzerinde hiçbir etki yaratmaz."
"Bruce Lee", "Her zaman kendiniz olun, kendinizi ifade edin, kendinize inanın, dışarı çıkıp başarılı bir kişilik aramayın ve onu kopyalamayın."
"Charlotte Gilman", "Saygı duyalım, tapalım, ama dik ve açık gözlü, en yükseğe, en alçağa değil; geleceğe, geçmişe değil!"
"Rahibe Teresa", "Birine her gülümsediğinizde, bu bir sevgi eylemidir, o kişiye bir armağandır, güzel bir şeydir."
"Margaret Runbeck", "Arkadaşlar arasındaki gerçek konuşmaları sessizlikler yapar. Önemli olan söylemek değil, söylemeye hiç ihtiyaç duymamaktır."
"Dalai Lama", "Kalplerimizi ve zihinlerimizi dönüştürmenin anahtarı, düşüncelerimizin ve duygularımızın nasıl çalıştığını anlamaktır."
"Johann Wolfgang von Goethe", "Bana fikirlerinizi söylemeniz gerekiyorsa, neye inandığınızı söyleyin. Benim de kendime göre bir sürü düşüncem var."
"Ovid", "Şans her zaman güçlüdür. Oltanızı her zaman atın; hiç ummadığınız havuzda bir balık olacaktır."
"Og Mandino", "Sürekli olarak görgü ve nezaketimi geliştirmeye çalışıyorum, çünkü bunlar herkesin ilgisini çeken şekerdir."
"James Barrie", "Bu dünyada ne kadar az şeye ihtiyacımız olduğunu, onu kaybetmeyi öğrenene kadar asla anlayamayız."
"", "Zenginliğinizin gerçek ölçüsü, tüm paranızı kaybettiğinizde ne kadar değerli olacağınızdır."
"Buddha", "Vücudu sağlıklı tutmak bir görevdir... aksi takdirde zihnimizi güçlü ve berrak tutamayız."
"Bruce Lee", "Kimin doğru ya da yanlış olduğunu ya da kimin daha iyi olduğunu düşünmeyin. Ne lehinde ne de aleyhinde ol."
"Everett Dirksen", "Ben sabit ve bükülmez ilkeleri olan bir adamım, bunlardan ilki her zaman esnek olmaktır."
"Byron Pulsifer", "Bugün, bir yabancıya beklemeden bir gülümseme verin, belki de harika bir gün geçirmeleri için ihtiyaç duydukları neşe olabilir."
"Henry Miller", "İnsan herhangi bir şeye, hatta bir ot parçasına bile dikkatini verdiği anda, o kendi içinde gizemli, müthiş, tarif edilemez derecede muhteşem bir dünya haline gelir."
"Lao Tzu", "Varlığınızın merkezinde cevap vardır; kim olduğunuzu ve ne istediğinizi bilirsiniz."
"Niels Bohr", "Bir paradoksla karşılaşmış olmamız ne kadar harika. Artık ilerleme kaydetme umudumuz var."
"Georg Lichtenberg", "Herkes yılda en az bir kez dahidir. Gerçek bir dahinin orijinal fikirleri birbirine daha yakındır."
"Anais Nin", "Rüyalar eylemin gerçekliğine geçer. Eylemlerden yine rüya doğar; ve bu karşılıklı bağımlılık en yüksek yaşam biçimini üretir."
"Gloria Steinem", "Hayal gücü sıçramaları ya da rüya görmek olmadan, olasılıkların heyecanını kaybederiz. Ne de olsa hayal kurmak bir çeşit planlamadır."
"Byron Pulsifer", "Üzüntü hayatın bir parçası olabilir ama tüm hayatınıza hükmetmesine izin vermenize gerek yoktur."
"Charles Schwab", "Koşulların biraz ilerisinde olmak iş dünyasının sırlarından biridir, römork nadiren uzağa gider."
"Epictetus", "Doğa bize bir dil ve iki kulak vermiş, böylece konuştuğumuzdan iki kat fazlasını duyabilelim."
"Barbara Baron", "Harekete geçmek için duygularınızın değişmesini beklemeyin. Harekete geçin ve duygularınız değişsin."
"Richard Bach", "Fikrinizi değiştirmekte ve farklı bir gelecek ya da farklı bir geçmiş seçmekte her zaman özgürsünüz."
"Lou Holtz", "Kazanan olarak doğmadınız ve kaybeden olarak da doğmadınız. Kendinizi ne yaparsanız o olursunuz."
"Napoleon Hill", "Vizyonlarınıza ve hayallerinize değer verin, çünkü onlar ruhunuzun çocukları, nihai başarılarınızın planlarıdır."
"Napoleon Hill", "Vizyonlarınıza ve hayallerinize değer verin, çünkü onlar ruhunuzun çocuklarıdır; nihai başarılarınızın planlarıdır."
"Robert Stevenson", "Olduğumuz şey olmak ve olabileceğimiz şey haline gelmek, hayatın tek amacıdır."
"Charles DeLint", "Bir hedefe giden yol sizi hedeften ayırmaz; esasen onun bir parçasıdır."
"Bruce Lee", "Her şeyi olduğu gibi kabul edin. Yumruk atmanız gerektiğinde yumruk atın. Tekmelemeniz gerektiğinde tekmeleyin."
"Albert Einstein", "Basit ve alçakgönüllü bir yaşam tarzının herkes için en iyisi olduğuna inanıyorum, hem beden hem de zihin için en iyisi."
"", "Hiç kimse geriye dönüp yepyeni bir başlangıç yapamasa da, herkes bugünden başlayıp yepyeni bir son yapabilir."
"Paavo Nurmi", "Zihin her şeydir: kas, lastik parçaları. Ben her neysem, zihnim sayesinde varım."
"Anne Frank", "Dünyayı iyileştirmeye başlamadan önce kimsenin tek bir an bile beklemesine gerek olmaması ne kadar harika."
"", "Arkadaş, geçmişinizi anlayan, geleceğinize inanan ve sizi olduğunuz gibi kabul eden kişidir."
"Ralph Emerson", "Eski dostların nimetlerinden biri de onlara karşı aptal olmayı göze alabilmenizdir."
"Tryon Edwards", "Fikirlerini asla değiştirmeyen, hatalarını asla düzeltmeyen ve yarın asla bugün olduğundan daha bilge olmayacaktır."
"Abraham Lincoln", "Bana bir ağacı kesmem için altı saat verin, ilk dört saatimi baltayı bilemekle geçiririm."
"E. M. Forster", "Hayatı berbat etmemek için insanları sevmek ve onlara güvenmek gerekir."
"David Seamans", "Anılarımızı değiştiremeyiz ama anlamlarını ve üzerimizdeki güçlerini değiştirebiliriz."
"Konfüçyüs", "İnsanlık içinde olmak iyidir. Eğer başka bir iyiliği seçer ve böylece insanlıktan uzaklaşırsak, nasıl bilge olabiliriz?"
"Byron Pulsifer", "Birine umut vermek, ona bunu kendisi için yapacak araçları nasıl kullanacağını öğrettiğinizde gerçekleşir."
"Lucille Ball", "Yapmadığım şeyler yerine yaptığım şeylerden pişmanlık duymayı tercih ederim."
"Eckhart Tolle", "Geçmişin sizi şu anda var olmaktan alıkoyacak hiçbir gücü yoktur. Bunu sadece geçmişle ilgili şikayetiniz yapabilir."
"Ralph Emerson", "Eğer yıldızlar her bin yılda bir gece görünseydi, insanoğlu nasıl da hayret ve hayranlık duyardı."
"Laurence J. Peter", "İki tür başarısızlık vardır: düşünüp hiç yapmayanlar ve yapıp hiç düşünmeyenler."
"Elizabeth Arden", "Yaşla ilgilenmiyorum. Bana yaşını söyleyen insanlar aptaldır. Hissettiğin kadar yaşlısın."
"Dalai Lama", "En karanlık günlerde umut buluyorum ve en parlak günlerde odaklanıyorum. Evreni yargılamıyorum."
"Konfüçyüs", "Hedeflere ulaşılamayacağı belli olduğunda, hedefleri değil, eylem adımlarını ayarlayın."
"Nikola Tesla", "Erdemlerimiz ve başarısızlıklarımız, güç ve madde gibi birbirinden ayrılamaz. Ayrıldıklarında, insan artık yoktur."
"Leo Aikman", "Ne mutlu gündüzleri endişelenmeyecek kadar meşgul, geceleri ise endişelenmeyecek kadar uykulu olan insana."
"Pablo Picasso", "Yapabileceğini düşünen yapabilir, yapamayacağını düşünen yapamaz. Bu amansız, tartışılmaz bir yasadır."
"Vernon Cooper", "Bugünlerde insanlar bilgi arıyor, bilgelik değil. Bilgi geçmişe aittir, bilgelik ise geleceğe."
"Benjamin Disraeli", "Hayatta başarılı olmanın bir sırrı da, insanın karşısına bir fırsat çıktığında buna hazır olmasıdır."
"Dalai Lama", "İnsanlar tatmin ve mutluluk için farklı yollardan geçerler. Sizin yolunuzda olmamaları onların kaybolduğu anlamına gelmez."
"Carl Jung", "Bir insana uyan ayakkabı diğerini sıkar; her duruma uyan bir yaşam tarifi yoktur."
"Buddha", "Gerçeğe giden yolda yapılabilecek sadece iki hata vardır; sonuna kadar gitmemek ve başlamamak."
"Marcus Aurelius", "Mutlu bir yaşam için çok az şeye ihtiyaç vardır; her şey kendi içinizde, düşünce tarzınızdadır."
"", "Vazgeçmek her zaman zayıf olduğunuz anlamına gelmez. Bazen pes edecek kadar güçlü olduğunuz anlamına gelir."
"Johann Wolfgang von Goethe", "İnsanlara olmaları gereken kişilermiş gibi davranırsanız, onların olabilecekleri kişi olmalarına yardımcı olursunuz."
"Thich Nhat Hanh", "Herhangi birine sunabileceğimiz en değerli hediye dikkatimizdir. Farkındalık sevdiklerimizi kucakladığında, onlar çiçekler gibi açacaklardır."
"Jack Dixon", "Eğer sonuçlara odaklanırsanız, asla değişmezsiniz. Değişime odaklanırsanız, sonuç alırsınız."
"G. K. Chesterton", "Teşekkürün en yüksek düşünce biçimi olduğunu ve minnettarlığın merakla ikiye katlanmış mutluluk olduğunu iddia ediyorum."
"Denis Waitley", "Hayatta iki temel seçenek vardır: koşulları olduğu gibi kabul etmek ya da onları değiştirme sorumluluğunu üstlenmek."
"Lao-Tzu", "Tüm zor şeylerin kökeni kolay olana, büyük şeylerin kökeni ise küçük olana dayanır."
"Byron Pulsifer", "Ne olmak istiyorsanız o olabilirsiniz. İçinizde güç var ve biz size her zaman yardımcı olacağız."
"Johannes Gaertner", "Minnettarlığı konuşmak nazik ve hoştur, minnettarlığı canlandırmak cömert ve asildir, ama minnettarlığı yaşamak cennete dokunmaktır."
"Doug Larson", "Bilgelik, konuşmayı tercih ettiğinizde bir ömür boyu dinlemeniz karşılığında aldığınız ödüldür."
"Charles Lamb", "Bildiğim en büyük zevk, iyi bir eylemi gizlice yapmak ve bunun tesadüfen ortaya çıkmasıdır."
"John Muir", "İnsan doğada tek bir şeyi çekiştirdiğinde, onu dünyanın geri kalanına bağlı bulur."
"Winston Churchill", "Cesaret, ayağa kalkıp konuşmak için gereken şeydir; cesaret aynı zamanda oturup dinlemek için de gereken şeydir."
"Helen Keller", "Dünyadaki en güzel şeyler görülemez, hatta dokunulamaz. Onlar kalp ile hissedilmelidir."
"Buddha", "Saf ve bencil olmayan bir hayat yaşamak için, bolluğun ortasında hiçbir şeyi kendinin saymamak gerekir."
"Thomas Edison", "Hayatın başarısızlıklarının çoğu, pes ettiklerinde başarıya ne kadar yakın olduklarını fark etmeyen insanlardır."
"William Ward", "Başkalarının içindeki en iyiyi keşfetmeye çalıştığımızda, bir şekilde kendimizdeki en iyiyi de ortaya çıkarmış oluruz."
"Michael Jordan", "Başkalarının beklentilerini, özellikle de olumsuz olanları kabul ederseniz, sonucu asla değiştiremezsiniz."
"Oliver Holmes", "Bir insan cevaplayamayacağı bir soruyu sorarak ve başaramayacağı bir işe kalkışarak varoluş amacını gerçekleştirebilir."
"Konfüçyüs", "Bilinmez olduğum gerçeği beni rahatsız etmez. Başkalarını tanımadığım zaman rahatsız oluyorum."
"Epictetus", "Sahip olmadığı şeyler için üzülmeyen, sahip oldukları için sevinen kişi bilgedir."
"Pablo Picasso", "Nasıl yapılacağını öğrenebilmek için her zaman yapamadığım şeyleri yapıyorum."
"Barack Obama", "Eğer doğru yolda yürüyorsanız ve yürümeye devam etmeye istekliyseniz, eninde sonunda ilerleme kaydedersiniz."
"Ivy Baker Priest", "Dünya yuvarlaktır ve son gibi görünen yer aynı zamanda başlangıç da olabilir."
"", "Başkalarını mutlu etme fırsatını asla kaçırmayın, bunu yapmak için onları yalnız bırakmanız gerekse bile."
"Danielle Ingrum", "Sahip olduğunuz her şeyi verin çünkü bir dahaki sefere olup olmayacağını asla bilemezsiniz."
"Eski bir Alman atasözü", "Başına geldiği gibi kabul etmelisin, ama istediğin gibi olmasını sağlamaya çalışmalısın."
"Ralph Blum", "Hiçbir şey önceden belirlenmiş değildir: Geçmişinizdeki engeller yeni başlangıçlara açılan kapılar haline gelebilir."
"Bruce Lee", "Ben bu dünyaya sizin beklentilerinizi karşılamak için gelmedim, siz de benimkileri karşılamak için gelmediniz."
"Thich Nhat Hanh", "Bazen neşeniz gülümsemenizin kaynağıdır, ama bazen gülümsemeniz neşenizin kaynağı olabilir."
"Walter Cronkite", "Bu hayat oyununa her şeyini vermeyen bir insanın başarılı olabileceğini düşünemiyorum."
"Sokrates", "Bu dünyada onurlu yaşamanın en büyük yolu, olduğumuz gibi görünmektir."
"Seneca", "Fetih koşulları her zaman kolaydır. Sadece bir süre çalışmamız, bir süre dayanmamız, her zaman inanmamız ve asla geri dönmememiz gerekir."
"Chalmers", "Mutluluğun temel unsurları şunlardır: Yapacak bir şey, sevecek bir şey ve umut edecek bir şey."
"Thich Nhat Hanh", "İçinde bulunduğumuz anı derinlemesine yaşayarak geçmişi daha iyi anlayabilir ve daha iyi bir geleceğe hazırlanabiliriz."
"Ralph Emerson", "Tepkileriniz konusunda çok çekingen ve alıngan olmayın. Tüm yaşam bir deneydir. Ne kadar çok deney yaparsanız o kadar iyi olur."
"Ralph Emerson", "Yolun götürebileceği yere gitmeyin, bunun yerine yolun olmadığı yere gidin ve bir iz bırakın."
"Robert Louis Stevenson", "Mutlu olma görevi kadar küçümsediğimiz başka bir görev yoktur. Mutlu olarak dünyaya anonim faydalar ekeriz."
"Napoleon Hill", "Edison elektrik ışığını yapmadan önce 10.000 kez başarısız oldu. Siz de birkaç kez başarısız olursanız cesaretiniz kırılmasın."
"", "Dün tarihtir. Yarın bir gizemdir. Peki ya bugün? Bugün bir armağandır, bu yüzden ona şimdiki zaman derler."
"Henry Thoreau", "Doğruyu söylemenin tek yolu nezaketle konuşmaktır. Sadece sevgi dolu bir adamın sözleri duyulabilir."
"Benjamin Disraeli", "Bir başkası için yapabileceğiniz en büyük iyilik, sadece zenginliklerinizi paylaşmak değil, ona kendi zenginliklerini de göstermektir."
"Brian Tracy", "Sadece yeni bir şey denediğinizde kendinizi garip ve rahatsız hissetmeye istekli olursanız büyüyebilirsiniz."
"Joan Didion", "Bizi başkalarının beklentilerinden kurtarmak, kendimize geri vermek için, özsaygının büyük, tekil gücü yatar."
"Mabel Newcomber", "Nereye gittiğinizi bilmek, oraya çabucak varmaktan daha önemlidir. Faaliyeti başarı ile karıştırmayın."
"", "Neye inandığınızı bilmediğinizde, her şey bir tartışmaya dönüşür. Her şey tartışılabilir. Ama bir şeyi savunduğunuzda, kararlar açıktır."
"Robert Graves", "Sezgi, düşüncenin tüm rutin süreçlerini kesen ve doğrudan problemden cevaba sıçrayan mantık üstü bir şeydir."
"Frank Wright", "Gerçekten inandığınız şey her zaman gerçekleşir; ve bir şeye olan inanç onu gerçekleştirir."
"Francois de La Rochefoucauld", "Gerçek bir dost, sahip olunanların en değerlisidir ve elde etmek için en az düşündüğümüz şeydir."
"Epictetus", "Mutluluğa giden tek bir yol vardır, o da irademizin dışında olan şeyler için endişelenmekten vazgeçmektir."
"Margaret Cousins", "Takdir etmek bir günü, hatta bir hayatı değiştirebilir. Gerekli olan tek şey bunu kelimelere dökmeye istekli olmanızdır."
"", "Kızgın, üzgün ya da sinirli geçirdiğiniz her altmış saniye, asla geri alamayacağınız tam bir mutluluk dakikasıdır."
"Thomas Carlyle", "Bu dünya, tüm bilim ve fen bilimlerimize rağmen, hala bir mucizedir; harika, esrarengiz, büyülü ve daha fazlası, onu düşünenler için."
"Pearl Buck", "Her büyük hatanın bir yarılanma anı, hatırlanabileceği ve belki de düzeltilebileceği bir saniyesi vardır."
"Catherine Pulsifer", "Yapabileceğiniz hiçbir şey olmadığı tavrını benimseyebilir ya da meydan okumayı harekete geçme çağrınız olarak görebilirsiniz."
"Alfred Tennyson", "Bir insanın bu hayattaki mutluluğu, tutkularının yokluğunda değil, onlara hakim olmasındadır."
"Margaret Mead", "Düşünceli ve kendini adamış küçük bir grup insanın dünyayı değiştirebileceğinden asla şüphe etmeyin. Gerçekten de. Şimdiye kadar değişmiş olan tek şey budur."
"Ovid", "Oltanızı her zaman atın; en ummadığınız havuzda bir balık olacaktır."
"Remez Sasson", "Huzuru düşünerek ya da hayal ederek değil, huzursuz zihninizi sakinleştirerek ve rahatlatarak elde edersiniz."
"Richard Bach", "Arkadaşlarınız sizi tanıştığınız ilk dakikada, tanıdıklarınızın sizi bin yılda tanıyacağından daha iyi tanıyacaktır."
"Pema Chodron", "Kalbinize dokunmaya başladığınızda ya da kalbinize dokunulmasına izin verdiğinizde, onun dipsiz olduğunu keşfetmeye başlarsınız."
"Richard Bach", "Eğer birini seviyorsanız, onu özgür bırakın. Geri dönerlerse sizindirler; dönmezlerse hiç olmamışlardır."
"David Jordan", "Bilgelik bir sonraki adımda ne yapacağını bilmektir; Beceri bunu nasıl yapacağını bilmektir ve Erdem bunu yapmaktır."
"Richard Bach", "Kötü şeyler başımıza gelebilecek en kötü şeyler değildir. Hiçbir şey başımıza gelebilecek en kötü şey değildir!"
"Alan Watts", "Şimdi yaşama kapasitesi olmayanlar, gelecek için geçerli planlar yapamazlar."
"Oscar Wilde", "Hayatın amacı kendini geliştirmektir. Her birimiz doğamızı mükemmel bir şekilde gerçekleştirmek için buradayız."
"Anatole France", "Büyük işler başarmak için sadece harekete geçmemeli, aynı zamanda hayal de kurmalıyız; sadece plan yapmamalı, aynı zamanda inanmalıyız."
"Thomas Edison", "Başarının ilk şartı, fiziksel ve zihinsel enerjinizi bıkmadan usanmadan bir soruna uygulayabilme yeteneğidir."
"John Steinbeck", "Kendimizi sevmeyi biraz olsun öğrenebilseydik, belki zalimliklerimiz ve öfkelerimiz eriyip gidebilirdi."
"", "Eğer doğru yöne bakıyorsak, tek yapmamız gereken yürümeye devam etmektir."
"Eleanor Roosevelt", "Sadece birey olma hakkınız değil, birey olma yükümlülüğünüz olduğunu da daima hatırlayın."
"Denis Waitley", "Hayatta iki temel seçenek vardır: koşulları olduğu gibi kabul etmek ya da onları değiştirmek için sorumluluk almak."
"Epictetus", "Gerçeği ararsanız, onursuz yollarla zafer kazanmaya çalışmazsınız ve gerçeği bulursanız yenilmez olursunuz."
"Eknath Easwaran", "Meditasyon yoluyla ve tüm dikkatimizi her seferinde tek bir şeye vererek, dikkatimizi istediğimiz yere yönlendirmeyi öğrenebiliriz."
"Helen Keller", "Dünyada sadece neşe olsaydı, cesur ve sabırlı olmayı asla öğrenemezdik."
"Marcus Aurelius", "Eğer doğru değilse yapmayın; eğer doğru değilse söylemeyin."
"Norman Schwarzkopf", "İşin gerçeği, yapılacak doğru şeyi her zaman bilirsiniz. Zor olan onu yapmaktır."
"Julie Morgenstern", "Bazı insanlar büyük ve dramatik değişimlerden hoşlanır. Bazıları ise yavaş ve istikrarlı yolu tercih eder. Sizin için doğru olanı yapın."
"Blaise Pascal", "İnsan, içinden çıktığı hiçliği ve içine gömüldüğü sonsuzluğu görmekten aynı derecede acizdir."
"Laura Teresa Marquez", "Kibir ve kabalık, onlar olmadan dengelerini koruyamayan zayıf insanlar için hayat bisikletinin eğitim tekerlekleridir."
"Çin Atasözü", "Bir anlık öfkene sabredersen, yüz günlük kederden kurtulursun."
"Abraham Lincoln", "Bir fili arka ayaklarından yakalamışsanız ve kaçmaya çalışıyorsa, en iyisi kaçmasına izin vermektir."
"Byron Pulsifer", "Cesaret, bilmeden risk almak değil, başkalarının yapamayacağı zorlukların önüne kendi varlığınızı koymaktır."
"Richard Bach", "Kilometreler sizi arkadaşlarınızdan ayırabilir mi... Sevdiğin biriyle birlikte olmak istiyorsan, zaten orada değil misin?"
"Harry Kemp", "Fakir adam, beş parasız olan değil, hayalleri olmayan adamdır."
"Benjamin Disraeli", "Bir başkası için yapabileceğiniz en büyük iyilik, sadece zenginliğinizi paylaşmak değil, onlara kendi zenginliklerini göstermektir."
"Buddha", "Geçmişe takılıp kalmayın, geleceği hayal etmeyin, zihninizi şimdiki ana yoğunlaştırın."
"", "İç huzuru, hayattan çatışmanın yokluğu değil, onunla başa çıkabilme yeteneğidir."
"Helen Keller", "Eksikliklerinizle yüzleşin ve onları kabul edin; ama onların size hükmetmesine izin vermeyin. Bırakın size sabır, tatlılık ve içgörü öğretsinler."
"John Kennedy", "Değişim hayatın kanunudur. Ve sadece geçmişe ya da bugüne bakanların geleceği kaçıracakları kesindir."
"Marcus Aurelius", "Zihniniz üzerinde gücünüz vardır, dışarıdaki olaylar üzerinde değil. Bunun farkına varırsanız, güç bulursunuz."
"Louis Pasteur", "Beni hedefime götüren sırrı size söyleyeyim: Gücüm yalnızca azmimde yatıyor."
"Buddha", "Ne düşünürsek oyuz. Olduğumuz her şey düşüncelerimizle ortaya çıkar. Düşüncelerimizle dünyayı yaratırız."
"Henry Longfellow", "Kendine saygı duyan kişi başkalarından korunur; kimsenin delemeyeceği bir zırh giyer."
"Wayne Dyer", "Dışarıda olup bitenleri her zaman kontrol edemem. Ama içimde olup bitenleri her zaman kontrol edebilirim."
"Daisaku Ikeda", "Önemli olan hayatımızda yarattığımız değer, mutlu ettiğimiz insanlar ve insan olarak ne kadar büyüdüğümüzdür."
"Epictetus", "Herhangi bir insanın hatasına kırıldığınızda, kendinize dönün ve kendi başarısızlıklarınızı inceleyin. O zaman öfkeni unutacaksın."
"Rumi", "Herkes belirli bir iş için yaratılmıştır ve her kalbe bu iş için arzu konulmuştur."
"Napoleon Bonaparte", "Düşünmek için zaman ayırın, ama harekete geçme zamanı geldiğinde, düşünmeyi bırakın ve harekete geçin."
"Dalai Lama", "Kişi kendi potansiyelinin farkına vararak ve yeteneğine güvenerek daha iyi bir dünya inşa edebilir."
"Franklin Roosevelt", "Mutluluk sadece paraya sahip olmakta değil; başarmanın sevincinde, yaratıcı çabanın heyecanında yatar."
"Pearl Buck", "Kendinize hissetmediğiniz bir şeyi hissettiremezsiniz, ancak duygularınıza rağmen doğru olanı yapmanızı sağlayabilirsiniz."
"Mary Kay Ash", "En çok yetenekle kutsanmış olanlar mutlaka herkesten daha iyi performans göstermezler. Başarılı olanlar, takip eden insanlardır."
"Albert Einstein", "Başarılı bir adam olmaya çalışmayın, bunun yerine değerli bir adam olmaya çalışın."
"Sofokles", "Sapık düşünceli insanlar, ellerinde tuttukları şeyin mükemmelliğini bilmezler, ta ki biri onu ellerinden alana kadar."
"Rene Descartes", "İyi bir akla sahip olmak yeterli değildir; asıl önemli olan onu iyi kullanmaktır."
"Byron Pulsifer", "Sorumluluk kalıtsal değildir, herkesin hayatının bir noktasında yapması gereken bir seçimdir."
"Amelia Earhart", "Başkalarının yapamayacağı veya yapmayacağı şeyler varsa, asla başkalarının yapabileceği ve yapacağı şeyleri yapmayın."
"Jimmy Dean", "Rüzgarın yönünü değiştiremem ama yelkenlerimi her zaman hedefime ulaşacak şekilde ayarlayabilirim."
"George Allen", "Vasat yeteneklere sahip insanlar bazen olağanüstü başarılar elde ederler çünkü ne zaman bırakacaklarını bilemezler. Çoğu insan başarılı olur çünkü bunu yapmaya kararlıdır."
"Joseph Roux", "Güzel bir alıntı, zeki bir adamın parmağındaki elmas, aptalın elindeki çakıl taşıdır."
"Bernice Reagon", "Hayatın zorlukları sizi felç etmemeli, kim olduğunuzu keşfetmenize yardımcı olmalıdır."
"Sokrates", "Bu dünyada onurlu yaşamanın en büyük yolu, olduğumuz gibi görünmektir."
"Henri Bergson", "Var olmak değişmektir, değişmek olgunlaşmaktır, olgunlaşmak ise kendini sonsuza dek yaratmaya devam etmektir."
"Albert Einstein", "Başarılı bir adam olmaya değil, değerli bir adam olmaya çalışın."
"Byron Pulsifer", "Boşlukta yaratamazsınız. Hayat size malzeme verir ve hayaller yeni başlangıçlara itici güç olabilir."
"Buddha", "İşiniz dünyanızı keşfetmek ve sonra tüm kalbinizle kendinizi ona vermektir."
"Daisaku Ikeda", "Hayatı dolu dolu yaşayan, yaşam enerjisiyle parlayan kişi, başarılı bir hayat yaşayan kişidir."
"Richard Bach", "Onlardan öğrenecek bir şeyiniz olmadığından emin olmadan olası geleceklere sırtınızı dönmeyin."
"David Brinkley", "Başarılı bir insan, başkalarının ona attığı tuğlalarla sağlam bir temel atabilen kişidir."
"Buddha", "Olduğumuz her şey düşündüklerimizin sonucudur. Zihin her şeydir. Ne düşünürsek o oluruz."
"Henri-Frederic Amiel", "Işığa sahipken çalışın. Size emanet edilen yetenekten siz sorumlusunuz."
"William Shakespeare", "O küçük mum ışınlarını ne kadar uzağa fırlatır! Yaramaz bir dünyada iyi bir eylem böyle parlar."
"Napoleon Hill", "Her sıkıntı, her başarısızlık, her gönül yarası beraberinde eşit ya da daha büyük bir faydanın tohumunu taşır."
"Tony Robbins", "Kaderiniz karar anlarınızda şekillenir."
"", "Bir engel ya bir atlama taşı ya da bir tökezleme bloğu olabilir."
"Pierre Auguste Renoir", "Acı geçer, ama güzellik kalır."
"Bob Newhart", "Hayat hakkında söyleyebileceğim tek şey, Tanrım, tadını çıkar!"
"Rita Mae Brown", "Yaratıcılık güvenden gelir. İçgüdülerinize güvenin. Ve asla çalıştığınızdan daha fazlasını ummayın."
"Lululemon", "Hayata bakış açınız, kendinizi ne kadar sevdiğinizin doğrudan bir yansımasıdır."
"Lao Tzu", "Öğretecek sadece üç şeyim var: sadelik, sabır, şefkat. Bu üçü sizin en büyük hazinelerinizdir."
"Kin Hubbard", "Bir rutinin içinde kalırsanız kaymazsınız."
